Model,Dataset,Metric,Value,Split
TabPFN,Train,R2,0.998810,0
TabPFN,Train,RMSE,2.186731,0
TabPFN,Train,MAE,0.895477,0
TabPFN,Train,R2,0.998175,1
TabPFN,Train,RMSE,2.614665,1
TabPFN,Train,MAE,1.026827,1
TabPFN,Train,R2,0.997500,2
TabPFN,Train,RMSE,3.085188,2
TabPFN,Train,MAE,1.157983,2
TabPFN,Train,R2,0.998895,3
TabPFN,Train,RMSE,2.095889,3
TabPFN,Train,MAE,0.814310,3
TabPFN,Train,R2,0.998583,4
TabPFN,Train,RMSE,2.350629,4
TabPFN,Train,MAE,0.939430,4
TabPFN,Train,R2,0.998257,5
TabPFN,Train,RMSE,2.539893,5
TabPFN,Train,MAE,0.915705,5
TabPFN,Train,R2,0.998504,6
TabPFN,Train,RMSE,2.359238,6
TabPFN,Train,MAE,0.958793,6
TabPFN,Train,R2,0.998502,7
TabPFN,Train,RMSE,2.343400,7
TabPFN,Train,MAE,0.898985,7
TabPFN,Train,R2,0.999303,8
TabPFN,Train,RMSE,1.651505,8
TabPFN,Train,MAE,0.751294,8
TabPFN,Train,R2,0.998367,9
TabPFN,Train,RMSE,2.499476,9
TabPFN,Train,MAE,0.910759,9
TabPFN,Train,R2,0.998793,10
TabPFN,Train,RMSE,2.179403,10
TabPFN,Train,MAE,0.857863,10
TabPFN,Train,R2,0.999575,11
TabPFN,Train,RMSE,1.268734,11
TabPFN,Train,MAE,0.728523,11
TabPFN,Train,R2,0.999666,12
TabPFN,Train,RMSE,1.103479,12
TabPFN,Train,MAE,0.628465,12
TabPFN,Train,R2,0.999299,13
TabPFN,Train,RMSE,1.623897,13
TabPFN,Train,MAE,0.774410,13
TabPFN,Train,R2,0.998344,14
TabPFN,Train,RMSE,2.436139,14
TabPFN,Train,MAE,1.014216,14
TabPFN,Train,R2,0.998613,15
TabPFN,Train,RMSE,2.356600,15
TabPFN,Train,MAE,0.910925,15
TabPFN,Train,R2,0.998297,16
TabPFN,Train,RMSE,2.570756,16
TabPFN,Train,MAE,0.932145,16
TabPFN,Train,R2,0.998218,17
TabPFN,Train,RMSE,2.619681,17
TabPFN,Train,MAE,0.956115,17
TabPFN,Train,R2,0.999493,18
TabPFN,Train,RMSE,1.376953,18
TabPFN,Train,MAE,0.692824,18
TabPFN,Train,R2,0.998093,19
TabPFN,Train,RMSE,2.709663,19
TabPFN,Train,MAE,0.990673,19
TabPFN,Train,R2,0.999193,20
TabPFN,Train,RMSE,1.774986,20
TabPFN,Train,MAE,0.790329,20
TabPFN,Train,R2,0.998214,21
TabPFN,Train,RMSE,2.646595,21
TabPFN,Train,MAE,1.004276,21
TabPFN,Train,R2,0.998274,22
TabPFN,Train,RMSE,2.572709,22
TabPFN,Train,MAE,0.896541,22
TabPFN,Train,R2,0.998873,23
TabPFN,Train,RMSE,2.130826,23
TabPFN,Train,MAE,0.922415,23
TabPFN,Train,R2,0.999630,24
TabPFN,Train,RMSE,1.215735,24
TabPFN,Train,MAE,0.688346,24
TabPFN,Train,R2,0.998210,25
TabPFN,Train,RMSE,2.606791,25
TabPFN,Train,MAE,1.064014,25
TabPFN,Train,R2,0.998600,26
TabPFN,Train,RMSE,2.362503,26
TabPFN,Train,MAE,0.866487,26
TabPFN,Train,R2,0.999684,27
TabPFN,Train,RMSE,1.134043,27
TabPFN,Train,MAE,0.673441,27
TabPFN,Train,R2,0.998721,28
TabPFN,Train,RMSE,2.212829,28
TabPFN,Train,MAE,0.902704,28
TabPFN,Train,R2,0.998637,29
TabPFN,Train,RMSE,2.284385,29
TabPFN,Train,MAE,0.878640,29
TabPFN,Train,R2,0.998246,30
TabPFN,Train,RMSE,2.567722,30
TabPFN,Train,MAE,0.935332,30
TabPFN,Train,R2,0.999717,31
TabPFN,Train,RMSE,1.047591,31
TabPFN,Train,MAE,0.628058,31
TabPFN,Train,R2,0.998598,32
TabPFN,Train,RMSE,2.337499,32
TabPFN,Train,MAE,0.910291,32
TabPFN,Train,R2,0.999673,33
TabPFN,Train,RMSE,1.118295,33
TabPFN,Train,MAE,0.634693,33
TabPFN,Train,R2,0.998248,34
TabPFN,Train,RMSE,2.627462,34
TabPFN,Train,MAE,0.959872,34
TabPFN,Train,R2,0.999017,35
TabPFN,Train,RMSE,1.991257,35
TabPFN,Train,MAE,0.810786,35
TabPFN,Train,R2,0.999758,36
TabPFN,Train,RMSE,0.987431,36
TabPFN,Train,MAE,0.624531,36
TabPFN,Train,R2,0.998944,37
TabPFN,Train,RMSE,2.065153,37
TabPFN,Train,MAE,0.889211,37
TabPFN,Train,R2,0.998456,38
TabPFN,Train,RMSE,2.439375,38
TabPFN,Train,MAE,0.893401,38
TabPFN,Train,R2,0.998489,39
TabPFN,Train,RMSE,2.429789,39
TabPFN,Train,MAE,0.888157,39
TabPFN,Train,R2,0.999133,40
TabPFN,Train,RMSE,1.788662,40
TabPFN,Train,MAE,0.750939,40
TabPFN,Train,R2,0.999461,41
TabPFN,Train,RMSE,1.434380,41
TabPFN,Train,MAE,0.711879,41
TabPFN,Train,R2,0.999784,42
TabPFN,Train,RMSE,0.919651,42
TabPFN,Train,MAE,0.591534,42
TabPFN,Train,R2,0.999579,43
TabPFN,Train,RMSE,1.262668,43
TabPFN,Train,MAE,0.701700,43
TabPFN,Train,R2,0.998615,44
TabPFN,Train,RMSE,2.313519,44
TabPFN,Train,MAE,0.884961,44
TabPFN,Train,R2,0.997951,45
TabPFN,Train,RMSE,2.778359,45
TabPFN,Train,MAE,1.049780,45
TabPFN,Train,R2,0.999122,46
TabPFN,Train,RMSE,1.884423,46
TabPFN,Train,MAE,0.848008,46
TabPFN,Train,R2,0.998699,47
TabPFN,Train,RMSE,2.311313,47
TabPFN,Train,MAE,0.861871,47
TabPFN,Train,R2,0.998210,48
TabPFN,Train,RMSE,2.523731,48
TabPFN,Train,MAE,0.956783,48
TabPFN,Train,R2,0.998891,49
TabPFN,Train,RMSE,2.069338,49
TabPFN,Train,MAE,0.910811,49
TabPFN,Test,R2,0.956043,0
TabPFN,Test,RMSE,12.034402,0
TabPFN,Test,MAE,3.703014,0
TabPFN,Test,R2,0.996474,1
TabPFN,Test,RMSE,3.929157,1
TabPFN,Test,MAE,1.885421,1
TabPFN,Test,R2,0.981728,2
TabPFN,Test,RMSE,8.706204,2
TabPFN,Test,MAE,3.447130,2
TabPFN,Test,R2,0.965919,3
TabPFN,Test,RMSE,10.896415,3
TabPFN,Test,MAE,3.179461,3
TabPFN,Test,R2,0.988292,4
TabPFN,Test,RMSE,6.659845,4
TabPFN,Test,MAE,3.186535,4
TabPFN,Test,R2,0.981626,5
TabPFN,Test,RMSE,9.155143,5
TabPFN,Test,MAE,3.794811,5
TabPFN,Test,R2,0.979500,6
TabPFN,Test,RMSE,9.596548,6
TabPFN,Test,MAE,3.116178,6
TabPFN,Test,R2,0.964097,7
TabPFN,Test,RMSE,12.984821,7
TabPFN,Test,MAE,5.010900,7
TabPFN,Test,R2,0.928497,8
TabPFN,Test,RMSE,16.304576,8
TabPFN,Test,MAE,5.522286,8
TabPFN,Test,R2,0.972205,9
TabPFN,Test,RMSE,10.636437,9
TabPFN,Test,MAE,3.327084,9
TabPFN,Test,R2,0.953098,10
TabPFN,Test,RMSE,13.063096,10
TabPFN,Test,MAE,4.096711,10
TabPFN,Test,R2,0.988134,11
TabPFN,Test,RMSE,7.069186,11
TabPFN,Test,MAE,2.688066,11
TabPFN,Test,R2,0.957912,12
TabPFN,Test,RMSE,14.157491,12
TabPFN,Test,MAE,5.498093,12
TabPFN,Test,R2,0.955793,13
TabPFN,Test,RMSE,13.841549,13
TabPFN,Test,MAE,4.961303,13
TabPFN,Test,R2,0.981127,14
TabPFN,Test,RMSE,9.744100,14
TabPFN,Test,MAE,3.709708,14
TabPFN,Test,R2,0.894236,15
TabPFN,Test,RMSE,18.871482,15
TabPFN,Test,MAE,5.879131,15
TabPFN,Test,R2,0.971465,16
TabPFN,Test,RMSE,10.494925,16
TabPFN,Test,MAE,3.204555,16
TabPFN,Test,R2,0.979392,17
TabPFN,Test,RMSE,9.045639,17
TabPFN,Test,MAE,3.141766,17
TabPFN,Test,R2,0.966126,18
TabPFN,Test,RMSE,12.213747,18
TabPFN,Test,MAE,4.820677,18
TabPFN,Test,R2,0.996922,19
TabPFN,Test,RMSE,3.497819,19
TabPFN,Test,MAE,1.983851,19
TabPFN,Test,R2,0.959183,20
TabPFN,Test,RMSE,12.389760,20
