feature,importance_mean,importance_std,shap_importance_mean,tabpfn_rank,gbdt_rank,rank_diff
T_lnP,48.62904267902008,2.117369767010311,18.168720228493218,1.0,2.0,1.0
temperature_C,26.487992511122854,0.9417344023963822,12.005833740617971,2.0,3.0,1.0
inv_T_K,22.11615192938849,0.7857447634663046,8.583901908070485,3.0,4.0,1.0
pressure_bar,18.227575739412234,0.8944548612047671,7.721020996079325,4.0,6.0,2.0
MgO_mass_ratio,13.610750918127321,0.8989267735028269,8.000563106487753,5.0,5.0,0.0
microporosity,13.464769135622593,0.702054543180665,21.545062252299502,6.0,1.0,5.0
MgO_surface_density,10.670677212336491,0.5997679804061163,1.0979257624090968,7.0,12.0,5.0
act1_temp_C,9.849921526689611,0.5355337070817342,0.29351140248058893,8.0,17.0,9.0
SBET_m2_g,9.56817576913124,0.524585285815717,5.6842363347191505,9.0,7.0,2.0
act1_duration_h,8.468984956882567,0.43057515951010944,0.1705851387388117,10.0,19.0,9.0
Vmeso_cm3_g,7.471480630726242,0.4700039089938942,2.134789046309896,11.0,10.0,1.0
carb1_type,6.423365635551411,0.5740835775749447,1.115181637372809,12.0,11.0,1.0
carbon_precursors,6.264789197109727,0.7057236391704931,2.8558005233986132,13.0,9.0,4.0
Vmicro_cm3_g,6.141016911353629,0.3840979940225839,5.206548627073458,14.0,8.0,6.0
act1_type,5.378603128980031,0.44948277028204664,0.36087590999433683,15.0,15.0,0.0
carb2_temp_C,5.243798352406616,0.4987382941027353,0.0729979332692538,16.0,22.0,6.0
Mg_loading_method,5.188942226275742,0.5254073321484736,0.04607325926446348,17.0,23.0,6.0
carb2_type,3.8136740612169007,0.38750586623287636,0.12350607839400501,18.0,20.0,2.0
carb1_duration_h,3.81204589578013,0.23807686759273133,0.5596742196978487,19.0,14.0,5.0
carb2_duration_h,3.7328212548754065,0.4095089303282319,0.0830725220889974,20.0,21.0,1.0
carb1_temp_C,3.0458579499406824,0.3196426614309699,0.825879966799714,21.0,13.0,8.0
MgO_precursors,2.178367404643684,0.3625903280676793,0.3463607068771687,22.0,16.0,6.0
act2_type,1.7908648275029222,0.27973302907396297,0.19994132750927812,23.0,18.0,5.0
post_treatment_type,0.6883179566502804,0.43453764943237355,0.0373789447533856,24.0,24.0,0.0
act2_duration_h,2.1984138272114193,0.31828347828587006,,,,
act2_temp_C,2.0154641544140843,0.25614912867123407,,,,
