feature,shap_importance_mean
microporosity,21.545062252299502
T_lnP,18.168720228493218
temperature_C,12.005833740617971
inv_T_K,8.583901908070485
MgO_mass_ratio,8.000563106487753
pressure_bar,7.721020996079325
SBET_m2_g,5.6842363347191505
Vmicro_cm3_g,5.206548627073458
carbon_precursors,2.8558005233986132
Vmeso_cm3_g,2.134789046309896
carb1_type,1.115181637372809
MgO_surface_density,1.0979257624090968
carb1_temp_C,0.825879966799714
carb1_duration_h,0.5596742196978487
act2_duration_h,0.4531725285914119
act1_type,0.36087590999433683
act2_temp_C,0.35963340445789355
MgO_precursors,0.3463607068771687
act1_temp_C,0.29351140248058893
act2_type,0.19994132750927812
act1_duration_h,0.1705851387388117
carb2_type,0.12350607839400501
carb2_duration_h,0.0830725220889974
carb2_temp_C,0.0729979332692538
Mg_loading_method,0.04607325926446348
post_treatment_type,0.0373789447533856
