,SBET_m2_g,Vmicro_cm3_g,MgO_mass_ratio,temperature_C,pressure_bar,act1_temp_C,act1_duration_h,carb1_temp_C,carb1_duration_h,carb2_temp_C,carb2_duration_h,Vmeso_cm3_g,microporosity,MgO_surface_density,T_lnP,inv_T_K
SBET_m2_g,1.0,0.9773596530588002,0.0015738806970900404,-0.7432127531493153,-0.6845552664728217,0.38381190920026237,0.6623428735636383,-0.7499105121102346,-0.4873762662383353,0.8634151326079115,0.8634151326079115,0.7436100598552786,-0.08524061898458718,-0.605571265955633,-0.6988140791738857,0.7432127531493153
Vmicro_cm3_g,0.9773596530588002,1.0,0.03542884045001176,-0.7214296677170005,-0.6026571523966766,0.41809847943084893,0.7110859407596354,-0.7110453345298255,-0.498051403334996,0.8554716213761397,0.8554716213761397,0.6776974540573314,-0.012370804614162753,-0.5556492561037084,-0.61151723408711,0.7214296677170005
MgO_mass_ratio,0.0015738806970900404,0.03542884045001176,1.0,-0.032842465721747205,-0.09675161874745827,0.16194911308843055,0.2216463945240758,-0.29833158354692285,-0.35818903709458894,0.21069847900534278,0.21069847900534278,0.27442065342558664,-0.23668355082459866,0.6857408844203663,-0.022682597006956805,0.032842465721747205
temperature_C,-0.7432127531493153,-0.7214296677170005,-0.032842465721747205,1.0,0.5967275440844322,-0.30887512228421105,-0.5841437367721379,0.6477210438629308,0.3037288675717922,-0.7494613441445047,-0.7494613441445047,-0.7507472845808634,0.3049596770456362,0.419325316856287,0.6617257640734088,-1.0
pressure_bar,-0.6845552664728217,-0.6026571523966766,-0.09675161874745827,0.5967275440844322,1.0,-0.030190982207683844,-0.31358127701208927,0.7987336965585051,0.5474727119252923,-0.7273032214041799,-0.7273032214041799,-0.7223504656100624,0.24300910206298504,0.28640458553569853,0.980933367224455,-0.5967275440844322
act1_temp_C,0.38381190920026237,0.41809847943084893,0.16194911308843055,-0.30887512228421105,-0.030190982207683844,1.0,0.8447117261410177,-0.09739010892727229,0.09576394268228468,0.16210067869263997,0.16210067869263997,0.345465881489647,-0.24869608586836173,-0.2866569523439565,-0.05097477376509436,0.30887512228421105
act1_duration_h,0.6623428735636383,0.7110859407596354,0.2216463945240758,-0.5841437367721379,-0.31358127701208927,0.8447117261410177,1.0,-0.41838714870866195,-0.257314662931744,0.5771185840782794,0.5771185840782794,0.571317185376318,-0.1873520885241744,-0.2707688157955404,-0.3301726809779456,0.5841437367721379
carb1_temp_C,-0.7499105121102346,-0.7110453345298255,-0.29833158354692285,0.6477210438629308,0.7987336965585051,-0.09739010892727229,-0.41838714870866195,1.0,0.7324640981362728,-0.7970764535864884,-0.7970764535864884,-0.7518279205194082,0.1740476172969602,0.18253874114425253,0.7627729984310195,-0.6477210438629308
carb1_duration_h,-0.4873762662383353,-0.498051403334996,-0.35818903709458894,0.3037288675717922,0.5474727119252923,0.09576394268228468,-0.257314662931744,0.7324640981362728,1.0,-0.6065943935824877,-0.6065943935824877,-0.3619187675330132,-0.2626303990019515,-0.10625531078161857,0.4657597785397371,-0.3037288675717922
carb2_temp_C,0.8634151326079115,0.8554716213761397,0.21069847900534278,-0.7494613441445047,-0.7273032214041799,0.16210067869263997,0.5771185840782794,-0.7970764535864884,-0.6065943935824877,1.0,1.0,0.7680709778059349,-0.1512297654850259,-0.3086829960107731,-0.7276878666084723,0.7494613441445047
carb2_duration_h,0.8634151326079115,0.8554716213761397,0.21069847900534278,-0.7494613441445047,-0.7273032214041799,0.16210067869263997,0.5771185840782794,-0.7970764535864884,-0.6065943935824877,1.0,1.0,0.7680709778059349,-0.1512297654850259,-0.3086829960107731,-0.7276878666084723,0.7494613441445047
Vmeso_cm3_g,0.7436100598552786,0.6776974540573314,0.27442065342558664,-0.7507472845808634,-0.7223504656100624,0.345465881489647,0.571317185376318,-0.7518279205194082,-0.3619187675330132,0.7680709778059349,0.7680709778059349,1.0,-0.6355485571700358,-0.26916112570132694,-0.758275286732853,0.7507472845808634
microporosity,-0.08524061898458718,-0.012370804614162753,-0.23668355082459866,0.3049596770456362,0.24300910206298504,-0.24869608586836173,-0.1873520885241744,0.1740476172969602,-0.2626303990019515,-0.1512297654850259,-0.1512297654850259,-0.6355485571700358,1.0,-0.033404825774791175,0.29899738666914394,-0.3049596770456362
MgO_surface_density,-0.605571265955633,-0.5556492561037084,0.6857408844203663,0.419325316856287,0.28640458553569853,-0.2866569523439565,-0.2707688157955404,0.18253874114425253,-0.10625531078161857,-0.3086829960107731,-0.3086829960107731,-0.26916112570132694,-0.033404825774791175,1.0,0.36272878583695317,-0.419325316856287
T_lnP,-0.6988140791738857,-0.61151723408711,-0.022682597006956805,0.6617257640734088,0.980933367224455,-0.05097477376509436,-0.3301726809779456,0.7627729984310195,0.4657597785397371,-0.7276878666084723,-0.7276878666084723,-0.758275286732853,0.29899738666914394,0.36272878583695317,1.0,-0.6617257640734088
inv_T_K,0.7432127531493153,0.7214296677170005,0.032842465721747205,-1.0,-0.5967275440844322,0.30887512228421105,0.5841437367721379,-0.6477210438629308,-0.3037288675717922,0.7494613441445047,0.7494613441445047,0.7507472845808634,-0.3049596770456362,-0.419325316856287,-0.6617257640734088,1.0
