feature,VIF,R²,high_collinear
SBET_m2_g,181.98,0.9945,True
Vmicro_cm3_g,173.95,0.9943,True
carb2_duration_h,112.75,0.9911,True
act1_duration_h,45.13,0.9778,True
inv_T_K,41.01,0.9756,True
carb2_temp_C,38.11,0.9738,True
temperature_C,35.24,0.9716,True
act1_temp_C,32.88,0.9696,True
carb1_temp_C,24.17,0.9586,True
Vmeso_cm3_g,9.46,0.8943,False
microporosity,5.29,0.811,False
MgO_mass_ratio,5.06,0.8023,False
pressure_bar,3.68,0.728,False
T_lnP,3.6,0.7219,False
carb1_duration_h,2.36,0.5755,False
MgO_surface_density,1.77,0.4336,False
